Date,Sales,Year,Month,Week
2013-01-01,2907,2013,1,1
2013-01-02,3920386,2013,1,1
2013-01-03,3528027,2013,1,1
2013-01-04,3610215,2013,1,1
2013-01-05,2964587,2013,1,1
2013-01-06,6254,2013,1,1
2013-01-07,6093933,2013,1,1
2013-01-08,4952478,2013,1,2
2013-01-09,4297272,2013,1,2
2013-01-10,4314074,2013,1,2
2013-01-11,4389696,2013,1,2
2013-01-12,3004666,2013,1,2
2013-01-13,2790,2013,1,2
2013-01-14,3346808,2013,1,2
2013-01-15,3163977,2013,1,3
2013-01-16,3012749,2013,1,3
2013-01-17,3072432,2013,1,3
2013-01-18,3345679,2013,1,3
2013-01-19,2954399,2013,1,3
2013-01-20,3229,2013,1,3
2013-01-21,4940752,2013,1,3
2013-01-22,4680093,2013,1,4
2013-01-23,4293760,2013,1,4
2013-01-24,4092087,2013,1,4
2013-01-25,4192388,2013,1,4
2013-01-26,2888014,2013,1,4
2013-01-27,3205,2013,1,4
2013-01-28,3374887,2013,1,4
2013-01-29,3087306,2013,1,5
2013-01-30,3309817,2013,1,5
2013-01-31,3972451,2013,1,5
2013-02-01,3952849,2013,2,5
2013-02-02,3392130,2013,2,5
2013-02-03,6354,2013,2,5
2013-02-04,5811598,2013,2,5
2013-02-05,5010460,2013,2,6
2013-02-06,4575685,2013,2,6
2013-02-07,4134245,2013,2,6
2013-02-08,4327017,2013,2,6
2013-02-09,3074236,2013,2,6
2013-02-10,3932,2013,2,6
2013-02-11,3020153,2013,2,6
2013-02-12,3170933,2013,2,7
2013-02-13,3489811,2013,2,7
2013-02-14,3591500,2013,2,7
2013-02-15,3390511,2013,2,7
2013-02-16,3043915,2013,2,7
2013-02-17,3881,2013,2,7
2013-02-18,5944344,2013,2,7
2013-02-19,4490044,2013,2,8
2013-02-20,4331562,2013,2,8
2013-02-21,4155621,2013,2,8
2013-02-22,4182778,2013,2,8
2013-02-23,2792164,2013,2,8
2013-02-24,4751,2013,2,8
2013-02-25,3183643,2013,2,8
2013-02-26,3233228,2013,2,9
2013-02-27,3372217,2013,2,9
2013-02-28,3995655,2013,2,9
2013-03-01,3974930,2013,3,9
2013-03-02,3405162,2013,3,9
2013-03-03,13871,2013,3,9
2013-03-04,6268665,2013,3,9
2013-03-05,5147621,2013,3,10
2013-03-06,4569447,2013,3,10
2013-03-07,4430243,2013,3,10
2013-03-08,4400064,2013,3,10
2013-03-09,2965414,2013,3,10
2013-03-10,6498,2013,3,10
2013-03-11,3410311,2013,3,10
2013-03-12,3048534,2013,3,11
2013-03-13,3282923,2013,3,11
2013-03-14,3384970,2013,3,11
2013-03-15,3664835,2013,3,11
2013-03-16,3212360,2013,3,11
2013-03-17,20182,2013,3,11
2013-03-18,5588699,2013,3,11
2013-03-19,4790314,2013,3,12
2013-03-20,4258797,2013,3,12
2013-03-21,4359535,2013,3,12
2013-03-22,4484905,2013,3,12
2013-03-23,3104822,2013,3,12
2013-03-24,29819,2013,3,12
2013-03-25,5762441,2013,3,12
2013-03-26,5189874,2013,3,13
2013-03-27,5248001,2013,3,13
2013-03-28,6132646,2013,3,13
2013-03-30,4643906,2013,3,13
2013-03-31,20505,2013,3,13
2013-04-01,33197,2013,4,13
2013-04-02,4186372,2013,4,14
2013-04-03,3595249,2013,4,14
2013-04-04,3638261,2013,4,14
2013-04-05,3584304,2013,4,14
2013-04-06,3035253,2013,4,14
2013-04-07,21788,2013,4,14
2013-04-08,5669862,2013,4,14
2013-04-09,4737870,2013,4,15
2013-04-10,4244603,2013,4,15
2013-04-11,4177596,2013,4,15
2013-04-12,4343638,2013,4,15
2013-04-13,2987428,2013,4,15
2013-04-14,25308,2013,4,15
2013-04-15,3296088,2013,4,15
2013-04-16,3251561,2013,4,16
2013-04-17,3172346,2013,4,16
2013-04-18,3222537,2013,4,16
2013-04-19,3428965,2013,4,16
2013-04-20,2993576,2013,4,16
2013-04-21,23746,2013,4,16
2013-04-22,5337514,2013,4,16
2013-04-23,4566046,2013,4,17
2013-04-24,4049433,2013,4,17
2013-04-25,3953269,2013,4,17
2013-04-26,4080935,2013,4,17
2013-04-27,3074686,2013,4,17
2013-04-28,28223,2013,4,17
2013-04-29,5568919,2013,4,17
2013-04-30,5894051,2013,4,18
2013-05-01,2942,2013,5,18
2013-05-02,5523275,2013,5,18
2013-05-03,4905476,2013,5,18
2013-05-04,3275802,2013,5,18
2013-05-05,32205,2013,5,18
2013-05-06,3907779,2013,5,18
2013-05-07,3733891,2013,5,19
2013-05-08,4180441,2013,5,19
2013-05-09,31241,2013,5,19
2013-05-10,4556873,2013,5,19
2013-05-11,3316123,2013,5,19
2013-05-12,29640,2013,5,19
2013-05-13,5398931,2013,5,19
2013-05-14,4917445,2013,5,20
2013-05-15,4363055,2013,5,20
2013-05-16,4336374,2013,5,20
2013-05-17,4432152,2013,5,20
2013-05-18,3181209,2013,5,20
2013-05-19,38513,2013,5,20
2013-05-20,34992,2013,5,20
2013-05-21,3996458,2013,5,21
2013-05-22,3303010,2013,5,21
2013-05-23,3437422,2013,5,21
2013-05-24,3521472,2013,5,21
2013-05-25,2843005,2013,5,21
2013-05-26,27295,2013,5,21
2013-05-27,5479657,2013,5,21
2013-05-28,4753276,2013,5,22
2013-05-29,4670098,2013,5,22
2013-05-30,1890059,2013,5,22
2013-05-31,5780029,2013,5,22
2013-06-01,3410594,2013,6,22
2013-06-02,38277,2013,6,22
2013-06-03,5676806,2013,6,22
2013-06-04,4877517,2013,6,23
2013-06-05,4356523,2013,6,23
2013-06-06,4278546,2013,6,23
2013-06-07,4344824,2013,6,23
2013-06-08,3047374,2013,6,23
2013-06-09,38019,2013,6,23
2013-06-10,3704106,2013,6,23
2013-06-11,3524129,2013,6,24
2013-06-12,3336640,2013,6,24
2013-06-13,3343968,2013,6,24
2013-06-14,3714254,2013,6,24
2013-06-15,3082302,2013,6,24
2013-06-16,36881,2013,6,24
2013-06-17,5650692,2013,6,24
2013-06-18,4556592,2013,6,25
2013-06-19,3982294,2013,6,25
2013-06-20,3988322,2013,6,25
2013-06-21,4481014,2013,6,25
2013-06-22,3072097,2013,6,25
2013-06-23,33828,2013,6,25
2013-06-24,3602727,2013,6,25
2013-06-25,3227808,2013,6,26
2013-06-26,3343713,2013,6,26
2013-06-27,3489333,2013,6,26
2013-06-28,4076381,2013,6,26
2013-06-29,3372638,2013,6,26
2013-06-30,41851,2013,6,26
2013-07-01,6010227,2013,7,26
2013-07-02,5055657,2013,7,27
2013-07-03,4537779,2013,7,27
2013-07-04,4638678,2013,7,27
2013-07-05,4489956,2013,7,27
2013-07-06,2971676,2013,7,27
2013-07-07,40569,2013,7,27
2013-07-08,3723728,2013,7,27
2013-07-09,3477973,2013,7,28
2013-07-10,3493881,2013,7,28
2013-07-11,3570817,2013,7,28
2013-07-12,3620242,2013,7,28
2013-07-13,3008958,2013,7,28
2013-07-14,54088,2013,7,28
2013-07-15,6360314,2013,7,28
2013-07-16,5152697,2013,7,29
2013-07-17,4590891,2013,7,29
2013-07-18,4459919,2013,7,29
