Date,Sales,OpenStores,PromoStores,PromoShare,SchoolHolidayShare,DayOfWeek,Year,Month,IsoWeek,IsWeekend
2013-01-01,2907,1,0,0,1,2,2013,1,1,0
2013-01-02,3920386,602,0,0,1,3,2013,1,1,0
2013-01-03,3528027,601,0,0,0.9385382059800664,4,2013,1,1,0
2013-01-04,3610215,601,0,0,0.9385382059800664,5,2013,1,1,0
2013-01-05,2964587,600,0,0,0.0664451827242525,6,2013,1,1,1
2013-01-06,6254,3,0,0,0.0664451827242525,7,2013,1,1,1
2013-01-07,6093933,599,602,1.005008347245409,0.0664451827242525,1,2013,1,2,0
2013-01-08,4952478,599,602,1.005008347245409,0.0664451827242525,2,2013,1,2,0
2013-01-09,4297272,599,602,1.005008347245409,0.0664451827242525,3,2013,1,2,0
2013-01-10,4314074,599,602,1.005008347245409,0.0664451827242525,4,2013,1,2,0
2013-01-11,4389696,599,602,1.005008347245409,0.0664451827242525,5,2013,1,2,0
2013-01-12,3004666,599,0,0,0,6,2013,1,2,1
2013-01-13,2790,2,0,0,0,7,2013,1,2,1
2013-01-14,3346808,599,0,0,0,1,2013,1,3,0
2013-01-15,3163977,599,0,0,0,2,2013,1,3,0
2013-01-16,3012749,599,0,0,0,3,2013,1,3,0
2013-01-17,3072432,599,0,0,0,4,2013,1,3,0
2013-01-18,3345679,599,0,0,0,5,2013,1,3,0
2013-01-19,2954399,599,0,0,0,6,2013,1,3,1
2013-01-20,3229,2,0,0,0,7,2013,1,3,1
2013-01-21,4940752,599,602,1.005008347245409,0,1,2013,1,4,0
2013-01-22,4680093,599,602,1.005008347245409,0,2,2013,1,4,0
2013-01-23,4293760,599,602,1.005008347245409,0,3,2013,1,4,0
2013-01-24,4092087,599,602,1.005008347245409,0,4,2013,1,4,0
2013-01-25,4192388,599,602,1.005008347245409,0,5,2013,1,4,0
2013-01-26,2888014,599,0,0,0,6,2013,1,4,1
2013-01-27,3205,3,0,0,0,7,2013,1,4,1
2013-01-28,3374887,599,0,0,0,1,2013,1,5,0
2013-01-29,3087306,599,0,0,0,2,2013,1,5,0
2013-01-30,3309817,600,0,0,0,3,2013,1,5,0
2013-01-31,3972451,600,0,0,0.019933554817275746,4,2013,1,5,0
2013-02-01,3952849,601,0,0,0.09800664451827243,5,2013,2,5,0
2013-02-02,3392130,601,0,0,0,6,2013,2,5,1
2013-02-03,6354,3,0,0,0,7,2013,2,5,1
2013-02-04,5811598,601,602,1.0016638935108153,0.2009966777408638,1,2013,2,6,0
2013-02-05,5010460,601,602,1.0016638935108153,0.2009966777408638,2,2013,2,6,0
2013-02-06,4575685,601,602,1.0016638935108153,0.2009966777408638,3,2013,2,6,0
